sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA20851,GIH,South Asian,kg,,South Asian
NA20852,GIH,South Asian,kg,,South Asian
NA20853,GIH,South Asian,kg,,South Asian
NA20854,GIH,South Asian,kg,,South Asian
NA20856,GIH,South Asian,kg,,South Asian
NA20858,GIH,South Asian,kg,,South Asian
NA20859,GIH,South Asian,kg,,South Asian
NA20861,GIH,South Asian,kg,,South Asian
NA20862,GIH,South Asian,kg,,South Asian
NA20863,GIH,South Asian,kg,,South Asian
NA20864,GIH,South Asian,kg,,South Asian
NA20866,GIH,South Asian,kg,,South Asian
NA20867,GIH,South Asian,kg,,South Asian
NA20868,GIH,South Asian,kg,,South Asian
NA20869,GIH,South Asian,kg,,South Asian
NA20870,GIH,South Asian,kg,,South Asian
NA20872,GIH,South Asian,kg,,South Asian
NA20874,GIH,South Asian,kg,,South Asian
NA20875,GIH,South Asian,kg,,South Asian
NA20876,GIH,South Asian,kg,,South Asian
NA20877,GIH,South Asian,kg,,South Asian
NA20878,GIH,South Asian,kg,,South Asian
NA20881,GIH,South Asian,kg,,South Asian
NA20882,GIH,South Asian,kg,,South Asian
NA20884,GIH,South Asian,kg,,South Asian
NA20885,GIH,South Asian,kg,,South Asian
NA20886,GIH,South Asian,kg,,South Asian
NA20887,GIH,South Asian,kg,,South Asian
NA20888,GIH,South Asian,kg,,South Asian
NA20889,GIH,South Asian,kg,,South Asian
NA20890,GIH,South Asian,kg,,South Asian
NA20891,GIH,South Asian,kg,,South Asian
NA20892,GIH,South Asian,kg,,South Asian
NA20894,GIH,South Asian,kg,,South Asian
NA20895,GIH,South Asian,kg,,South Asian
NA20896,GIH,South Asian,kg,,South Asian
NA20897,GIH,South Asian,kg,,South Asian
NA20899,GIH,South Asian,kg,,South Asian
